============================================================================================
TGM2 表达 vs 药物 IC50 相关性  |  CCLE RNA-seq (log2 RPKM+1) x GDSC1/2 fitted LN_IC50
rho > 0 = TGM2 越高 IC50 越高 = 越耐药（支持课题假设）
============================================================================================

############################################################################################
### PAN-CANCER  |  可评估药物 664 个  |  FDR<0.05 显著 664 个  |  rho>0(耐药方向) 550/664 = 83%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
Foretinib                      13   0.500   8.19e-02   9.88e-01  MET, KDR, TIE2, VEGF / RTK signaling
Ara-G                          12   0.490   1.06e-01   9.88e-01  Anti-metabolite / Other
Docetaxel                      13   0.478   9.85e-02   9.88e-01  Microtubule stabilis / Mitosis
Olaparib                       13   0.473   1.03e-01   9.88e-01  PARP1, PARP2 / Genome integrity
STF-62247                      12   0.469   1.24e-01   9.88e-01  Autophagy inducer / Other
Fulvestrant                    12   0.469   1.24e-01   9.88e-01  ESR1 / Hormone-related
CRT0160829                     11   0.464   1.51e-01   9.88e-01  CDC7 / DNA replication
BX795                          13   0.456   1.17e-01   9.88e-01  TBK1, PDK1 (PDPK1),  / Other, kinases
AZD6094                        12   0.455   1.38e-01   9.88e-01  MET / RTK signaling

  --- 反方向（TGM2 高 = 更敏感）Top10 ---
FY012                          11  -0.609   4.67e-02   9.88e-01  nan / Unclassified
Piperlongumine                 11  -0.536   8.90e-02   9.88e-01  Induces reactive oxy / Other
AZD6482                        13  -0.473   1.03e-01   9.88e-01  PI3Kbeta / PI3K/MTOR signaling
(5Z)-7-Oxozeaenol              11  -0.464   1.51e-01   9.88e-01  TAK1 / Other, kinases
Bryostatin 1                   13  -0.462   1.12e-01   9.88e-01  PKC / Other
Selumetinib                    12  -0.448   1.45e-01   9.88e-01  MEK1, MEK2 / ERK MAPK signaling
Veliparib                      13  -0.429   1.44e-01   9.88e-01  PARP1, PARP2 / Genome integrity
Dacinostat                     13  -0.418   1.56e-01   9.88e-01  HDAC1 / Chromatin histone acetylat
FY026                          11  -0.400   2.23e-01   9.88e-01  nan / Unclassified
SB216763                       12  -0.392   2.08e-01   9.88e-01  GSK3A, GSK3B / WNT signaling

############################################################################################
### ESCA  |  可评估药物 642 个  |  FDR<0.05 显著 0 个  |  rho>0(耐药方向) 421/642 = 66%
############################################################################################

药物                              n     rho          P        FDR  靶点/通路
--------------------------------------------------------------------------------------------
QL-VIII-58                     12   0.720   8.24e-03   9.71e-01  MTOR, ATR / Other
Pevonedistat                   23   0.578   3.86e-03   9.71e-01  NAE / Other
Motesanib                      24   0.575   3.30e-03   9.71e-01  VEGFR, RET, KIT, PDG / RTK signaling
Doramapimod                    23   0.554   6.05e-03   9.71e-01  p38, JNK2 / JNK and p38 signaling
AZD1208                        24   0.548   5.59e-03   9.71e-01  PIM1, PIM2, PIM3 / Other, kinases
Mirin                          22   0.494   1.94e-02   9.71e-01  MRE11 / Genome integrity
I-BRD9                         23   0.480   2.04e-02   9.71e-01  BRD9 / Chromatin other
Flavopiridol                   23   0.473   2.25e-02   9.71e-01  CDK / Cell cycle
JNK Inhibitor VIII             24   0.464   2.23e-02   9.71e-01  JNK / JNK and p38 signaling
AZD3759                        24   0.444   2.96e-02   9.71e-01  EGFR / EGFR signaling
Uprosertib                     24   0.444   2.96e-02   9.71e-01  AKT1, AKT2, AKT3 / PI3K/MTOR signaling
Temsirolimus                   23   0.438   3.67e-02   9.71e-01  MTOR / PI3K/MTOR signaling
KIN001-042                     24   0.437   3.30e-02   9.71e-01  GSK3B / WNT signaling
GDC0810                        23   0.430   4.06e-02   9.71e-01  ESR1, ESR2 / Hormone-related
IWP-2                          22   0.417   5.33e-02   9.71e-01  PORCN / WNT signaling
PFI-1                          24   0.409   4.74e-02   9.71e-01  BRD4 / Chromatin other
SB590885                       24   0.409   4.74e-02   9.71e-01  BRAF / ERK MAPK signaling
Avagacestat                    24   0.408   4.79e-02   9.71e-01  Amyloid beta20, Amyl / Other
GSK2110183B                    20   0.405   7.69e-02   9.71e-01  AKT1, AKT2, AKT3 / PI3K/MTOR signaling
I-CBP112                       21   0.401   7.14e-02   9.71e-01  EP300, CBP / Chromatin histone acetylat
JQ1                            24   0.397   5.51e-02   9.71e-01  BRD2, BRD3, BRD4, BR / Chromatin other
Tamoxifen                      23   0.391   6.48e-02   9.71e-01  ESR1 / Hormone-related
MCT1_6447                      24   0.383   6.43e-02   9.71e-01  MCT1 / Cell cycle
PFI-3                          22   0.374   8.61e-02   9.71e-01  PB1, SMARCA4, SMARCA / Chromatin other
