================================================================================================
A. CCLE  |  TGM2 (log2 RPKM+1) vs CCLE_NP24 药敏 ActArea/IC50
================================================================================================
[A] TGM2 有值细胞系: 1075
[A] CCLE 药敏: 504 细胞系, 97 个字段

  说明：CCLE 药敏字段含 ActArea(活性面积,越大=越敏感) 与 IC50/EC50。
        对 IC50 类字段 rho>0 = TGM2高更耐药；对 ActArea 类字段 rho<0 = TGM2高更耐药。

  字段                                            n     rho          P        FDR
  17-AAG:HSP90_ActArea                        475  -0.061   1.87e-01   2.77e-01
  ZD-6474:EGFR_Amax                           468  -0.066   1.57e-01   2.39e-01
  PD-0325901:MEK_IC50 (uM)                    476  -0.074   1.07e-01   1.78e-01
  AZD0530:ABL_IC50 (uM)                       476  -0.096   3.62e-02   6.32e-02
  Nutlin-3:MDM2_ActArea                       476  -0.098   3.19e-02   5.67e-02
  AEW541:IGF1R_ActArea                        475  -0.110   1.68e-02   3.09e-02 *
  LBW242:XIAP_Amax                            475  -0.110   1.66e-02   3.09e-02 *
  PHA-665752:c-MET_TargetEC50 (uM)             88  -0.120   2.65e-01   3.59e-01
  Panobinostat:HDAC_Amax                      472  -0.122   7.97e-03   1.59e-02 *
  PLX4720:RAF_Amax                            468  -0.132   4.20e-03   8.58e-03 *
  TAE684:ALK_ActArea                          476  -0.138   2.57e-03   5.48e-03 *
  PHA-665752:c-MET_ActArea                    475  -0.146   1.41e-03   3.29e-03 *
  AZD6244:MEK_Amax                            475  -0.154   7.80e-04   1.97e-03 *
  Erlotinib:EGFR_Amax                         475  -0.170   1.95e-04   6.02e-04 *
  TKI258:FGFR_ActArea                         476  -0.186   4.36e-05   1.49e-04 *
  PF2341066:c-MET_ActArea                     476  -0.187   4.10e-05   1.46e-04 *
  AZD0530:ABL_Amax                            476  -0.188   3.52e-05   1.30e-04 *
  PD-0325901:MEK_Amax                         476  -0.200   1.08e-05   4.73e-05 *
  Sorafenib:RTK_ActArea                       475  -0.204   7.37e-06   3.37e-05 *
  Nilotinib:ABL_ActArea                       396  -0.236   2.00e-06   9.59e-06 *
  Paclitaxel:TUBB1_ActArea                    475  -0.293   6.90e-11   8.27e-10 *
  L-685458:GS_ActArea                         463  -0.305   1.88e-11   2.58e-10 *
  Topotecan:TOP1_ActArea                      476  -0.310   4.60e-12   8.83e-11 *
  PD-0332991:CDK4_ActArea                     409  -0.311   1.20e-10   1.28e-09 *
  Irinotecan:TOP1_ActArea                     301  -0.340   1.40e-09   1.23e-08 *
  Panobinostat:HDAC_ActArea                   472  -0.387   2.46e-18   2.37e-16 *

================================================================================================
B. NCI60  |  TGM2 (Affy U133Plus2 RMA) vs DTP GI50 Z-score
   注意 DTP Z-score 越大 = 越敏感，故 rho<0 = TGM2高更耐药
================================================================================================
[B] NCI60 表达: 60 细胞系; TGM2 探针命中 ['201042_at', '211003_x_at', '211573_x_at']
[B] TGM2 表达可用细胞系 59
[B] NCI60 DTP: 62 细胞系, 263 个化合物
[B] 全量扫描 262 个化合物（其中临床常用药 44 个）

  [B] 汇总：262 个化合物可评估；方向为「TGM2高→耐药」的 60 个（23%）；FDR<0.05 显著 161 个，其中耐药方向 8 个

  --- Top25「TGM2 高 → 耐药」（rho 最负）---
  化合物                                               n     rho          P        FDR
  ----------------------------------------------------------------------------------
  Paclitaxel_418145                                59  -0.440   4.82e-04   1.15e-03 *
  Actinomycin D_538571                             59  -0.361   4.91e-03   9.33e-03 *
  Carmustine_479311                                59  -0.338   8.79e-03   1.60e-02 *
  Vinblastine_101900                               59  -0.330   1.06e-02   1.89e-02 *
