model	encoder	prefix	source_cell_line	order_bucket	negative_type	auc	ap	n_positive	n_negative	n	mean_score
GM12878	sage	test_intra	GM12878	5+	MNS	0.16619123	0.33476223	1751983	1751983	3503966	0.92633276
GM12878	sage	test_intra	GM12878	5+	SNS	0.04550516	0.30987328	1751983	1751983	3503966	0.93333229
GM12878	sage	valid	GM12878	3	CNS	0.28531061	0.38924248	1657733	1657745	3315478	0.80892197
GM12878	sage	valid	GM12878	3	MNS	0.093747179	0.31739174	1657733	1657733	3315466	0.8606185
GM12878	sage	valid	GM12878	3	SNS	0.072491668	0.31377142	1657733	1657733	3315466	0.8646996
GM12878	sage	valid	GM12878	4	CNS	0.3489671	0.42617908	1031597	1031597	2063194	0.83856584
GM12878	sage	valid	GM12878	4	MNS	0.11811695	0.32246824	1031597	1031597	2063194	0.88694416
GM12878	sage	valid	GM12878	4	SNS	0.05266009	0.31079142	1031597	1031597	2063194	0.89509718
GM12878	sage	valid	GM12878	5+	CNS	0.42405168	0.46785032	1338502	1338490	2676992	0.88930967
GM12878	sage	valid	GM12878	5+	MNS	0.16230508	0.33358668	1338502	1338502	2677004	0.92587927
GM12878	sage	valid	GM12878	5+	SNS	0.041804929	0.30947577	1338502	1338502	2677004	0.93294145
K562	sage	test_inter	GM12878	3	CNS	0.30929287	0.40060862	2324865	2324893	4649758	0.56572976
K562	sage	test_inter	GM12878	3	MNS	0.10036047	0.3187132	2324865	2324865	4649730	0.62344671
K562	sage	test_inter	GM12878	3	SNS	0.079693525	0.31497796	2324865	2324865	4649730	0.63275647
K562	sage	test_inter	GM12878	4	CNS	0.37008488	0.43672644	1399495	1399495	2798990	0.58048622
K562	sage	test_inter	GM12878	4	MNS	0.1245522	0.32396353	1399495	1399495	2798990	0.63879165
K562	sage	test_inter	GM12878	4	SNS	0.058460261	0.31154705	1399495	1399495	2798990	0.66585608
K562	sage	test_inter	GM12878	5+	CNS	0.44081344	0.47603986	1751983	1751955	3503938	0.6149299
K562	sage	test_inter	GM12878	5+	MNS	0.17040737	0.33598864	1751983	1751983	3503966	0.66841035
K562	sage	test_inter	GM12878	5+	SNS	0.048141015	0.31019019	1751983	1751983	3503966	0.70982135
K562	sage	test_intra	K562	3	CNS	0.33205374	0.41314473	1184599	1184674	2369273	0.56903663
K562	sage	test_intra	K562	3	MNS	0.10717486	0.32005506	1184599	1184599	2369198	0.62876517
K562	sage	test_intra	K562	3	SNS	0.091133917	0.31710174	1184599	1184599	2369198	0.63502011
K562	sage	test_intra	K562	4	CNS	0.38869867	0.44709015	811797	811797	1623594	0.58609861
K562	sage	test_intra	K562	4	MNS	0.13418513	0.32618988	811797	811797	1623594	0.64471479
K562	sage	test_intra	K562	4	SNS	0.068704326	0.31308214	811797	811797	1623594	0.66892724
K562	sage	test_intra	K562	5+	CNS	0.45270881	0.48275012	1406669	1406594	2813263	0.62489492
K562	sage	test_intra	K562	5+	MNS	0.18416373	0.33989157	1406669	1406669	2813338	0.67693437
K562	sage	test_intra	K562	5+	SNS	0.054179518	0.31095717	1406669	1406669	2813338	0.717173
K562	sage	valid	K562	3	CNS	0.31853688	0.40548447	865365	865398	1730763	0.56807094
K562	sage	valid	K562	3	MNS	0.10331301	0.31921567	865365	865365	1730730	0.62725745
K562	sage	valid	K562	3	SNS	0.085979935	0.31616767	865365	865365	1730730	0.633691
K562	sage	valid	K562	4	CNS	0.38013064	0.4424079	588606	588606	1177212	0.58514516
K562	sage	valid	K562	4	MNS	0.12991007	0.32505631	588606	588606	1177212	0.64416875
K562	sage	valid	K562	4	SNS	0.065281285	0.31261835	588606	588606	1177212	0.66791803
K562	sage	valid	K562	5+	CNS	0.45014103	0.48145423	1013471	1013438	2026909	0.62439995
K562	sage	valid	K562	5+	MNS	0.17890862	0.33818168	1013471	1013471	2026942	0.67732528
K562	sage	valid	K562	5+	SNS	0.052780034	0.310802	1013471	1013471	2026942	0.71670018
