gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro,rho_ccle,p_ccle,n_ccle
FOXL1,0.4282503740616761,3.4886115642411183e-25,533,0.4358168925790838,1.861873115551872e-24,498,0.3021454206408354,1.0816197945423842e-12,1.2904168539325849,0.6859530759573156,up_in_TGM2high,1.1861279318419805e-23,1.5825921482190913e-22,1.3133954648014666e-11,0.4622326203208556,0.0067643012642415,33
SERPINE1,0.468258866994968,2.1152649874617904e-30,533,0.4290935833479111,1.1102243057342555e-23,498,0.3438392349767548,3.289347317094658e-16,1.8502702247190983,0.8456371939736371,up_in_TGM2high,1.1986501595616809e-28,6.291271065827447e-22,1.1183780878121838e-14,0.4375,0.0108927095774708,33
LOX,0.4310288037192832,1.5932894322441936e-25,533,0.3962972910526307,3.868825709599578e-20,498,0.3386723225786487,9.612581133693148e-16,1.7857707865168582,0.9976957940991884,up_in_TGM2high,6.771480087037825e-24,1.2733812613148902e-18,2.723564654546392e-14,0.4177807486631016,0.0155532926429191,33
